"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-32.36-intel-s-cloud.uic-cs-edu-pg0.utah.cloudlab.us",,,,"User:","dporte7"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --swap --tcp --output dstatoutput_load_gen_again.csv",,,,"Date:","17 Oct 2019 12:50:09 MDT"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"swap",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","77","78","79","int","csw","used","free","lis","act","syn","tim","clo"
17-10 13:09:56,0,0.063,99.937,0,0,699248640,65108103168,191025152,1238855680,0,0,0,0,665,430,0,0,0,81,128,0,3221221376,10,9,0,0,0,
17-10 13:09:57,0,0.063,99.937,0,0,699248640,65108103168,191025152,1238855680,0,32768,0,4,186,516,0,0,0,94,169,0,3221221376,10,9,0,0,0,
17-10 13:09:58,0,0.125,99.875,0,0,699248640,65108103168,191025152,1238855680,0,0,0,0,723,1260,0,0,0,79,132,0,3221221376,10,9,0,0,0,
17-10 13:09:59,0,0.063,99.937,0,0,699248640,65108103168,191025152,1238855680,0,0,0,0,246,414,0,0,0,89,159,0,3221221376,10,9,0,0,0,
17-10 13:10:00,0,0.063,99.937,0,0,699248640,65108103168,191025152,1238855680,0,32768,0,4,545,414,0,0,0,80,124,0,3221221376,10,9,0,0,0,
17-10 13:10:01,0,0.062,99.938,0,0,699248640,65108103168,191025152,1238855680,0,0,0,0,1043,496,0,0,0,89,140,0,3221221376,10,9,0,0,0,
17-10 13:10:02,0,0.188,99.812,0,0,699256832,65108094976,191025152,1238855680,0,0,0,1,940,644,0,0,0,175,253,0,3221221376,10,9,0,0,0,
17-10 13:10:03,0,0.125,99.812,0.062,0,699256832,65108094976,191025152,1238855680,0,106496,0,4,306,422,0,0,0,110,183,0,3221221376,10,9,0,0,0,
17-10 13:10:04,0,0.063,99.937,0,0,699256832,65108094976,191025152,1238855680,0,0,0,0,485,430,0,0,0,77,129,0,3221221376,10,9,0,0,0,
17-10 13:10:05,0,0.062,99.938,0,0,699256832,65108094976,191025152,1238855680,0,98304,0,16,933,644,0,0,0,96,144,0,3221221376,10,9,0,0,0,
17-10 13:10:06,0.062,0.125,99.813,0,0,699256832,65108094976,191025152,1238855680,0,0,0,0,425,490,0,0,0,81,133,0,3221221376,10,9,0,0,0,
17-10 13:10:07,0,0.063,99.937,0,0,699256832,65108094976,191025152,1238855680,0,0,0,0,306,414,0,0,0,111,205,0,3221221376,10,9,0,0,0,
17-10 13:10:08,0,0.063,99.937,0,0,699256832,65108094976,191025152,1238855680,0,0,0,0,1207,644,0,0,0,91,153,0,3221221376,10,9,0,0,0,
17-10 13:10:09,0,0.063,99.937,0,0,699256832,65108094976,191025152,1238855680,0,24576,0,4,186,414,0,0,0,80,134,0,3221221376,10,9,0,0,0,
17-10 13:10:10,0,0.063,99.937,0,0,699256832,65108094976,191025152,1238855680,0,0,0,0,665,430,0,0,0,82,138,0,3221221376,10,9,0,0,0,
17-10 13:10:11,0,0.125,99.875,0,0,699256832,65108094976,191025152,1238855680,0,0,0,0,186,414,0,0,0,89,161,0,3221221376,10,9,0,0,0,
17-10 13:10:12,0,0.063,99.937,0,0,699256832,65108094976,191025152,1238855680,0,0,0,0,477,644,0,0,0,93,160,0,3221221376,10,9,0,0,0,
17-10 13:10:13,0,0.063,99.937,0,0,699256832,65108094976,191025152,1238855680,0,0,0,0,366,414,0,0,0,82,135,0,3221221376,10,9,0,0,0,
17-10 13:10:14,0,0.125,99.875,0,0,699256832,65108094976,191025152,1238855680,0,0,0,0,245,414,0,0,0,74,131,0,3221221376,10,9,0,0,0,
17-10 13:10:15,0,0.063,99.937,0,0,699252736,65108094976,191025152,1238859776,0,65536,0,6,778,644,0,0,0,110,183,0,3221221376,10,9,0,0,0,
17-10 13:10:16,0,0.063,99.937,0,0,699252736,65108094976,191025152,1238859776,0,0,0,0,425,430,0,0,0,75,127,0,3221221376,10,9,0,0,0,
17-10 13:10:17,0.062,0.062,99.875,0,0,699252736,65108094976,191025152,1238859776,0,0,0,0,666,414,0,0,0,94,156,0,3221221376,10,9,0,0,0,
17-10 13:10:18,0,0.125,99.875,0,0,699252736,65108094976,191025152,1238859776,0,0,0,0,1265,644,0,0,0,93,150,0,3221221376,10,9,0,0,0,
17-10 13:10:19,0,0.062,99.938,0,0,699252736,65108094976,191025152,1238859776,0,0,0,0,186,414,0,0,0,87,148,0,3221221376,10,9,0,0,0,
17-10 13:10:20,0,0.063,99.937,0,0,699252736,65108094976,191025152,1238859776,0,0,0,0,365,414,0,0,0,86,130,0,3221221376,10,9,0,0,0,
17-10 13:10:21,0,0.062,99.875,0.062,0,699252736,65108094976,191025152,1238859776,0,24576,0,4,580,480,0,0,0,102,148,0,3221221376,10,9,0,0,0,
17-10 13:10:22,0,0.125,99.875,0,0,699252736,65108094976,191025152,1238859776,0,0,0,0,1011,800,0,0,0,133,165,0,3221221376,10,9,1,0,0,
17-10 13:10:23,0,0.063,99.937,0,0,699252736,65108094976,191025152,1238859776,0,0,0,0,320,488,0,0,0,100,169,0,3221221376,10,9,1,0,0,
17-10 13:10:24,0,0.063,99.937,0,0,699252736,65108094976,191025152,1238859776,0,0,0,0,579,488,0,0,0,81,139,0,3221221376,10,9,1,0,0,
17-10 13:10:25,0,0.125,99.875,0,0,699252736,65108094976,191025152,1238859776,0,0,0,0,693,644,0,0,0,82,163,0,3221221376,10,9,1,0,0,
17-10 13:10:26,0,0.063,99.937,0,0,699252736,65108094976,191025152,1238859776,0,0,0,0,845,488,0,0,0,101,148,0,3221221376,10,9,1,0,0,
17-10 13:10:27,0,0.063,99.937,0,0,699252736,65108094976,191025152,1238859776,0,32768,0,4,546,414,0,0,0,102,171,0,3221221376,10,9,1,0,0,
17-10 13:10:28,0,0.063,99.937,0,0,699252736,65108094976,191025152,1238859776,0,0,0,0,657,660,0,0,0,81,132,0,3221221376,10,9,1,0,0,
17-10 13:10:29,0,0.063,99.937,0,0,699252736,65108094976,191025152,1238859776,0,0,0,0,655,488,0,0,0,80,130,0,3221221376,10,9,1,0,0,


"Host:","node-32.36-intel-s-cloud.uic-cs-edu-pg0.utah.cloudlab.us",,,,"User:","dporte7"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --swap --tcp --output dstatoutput_load_gen_again.csv",,,,"Date:","17 Oct 2019 13:33:12 MDT"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"swap",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","77","78","79","int","csw","used","free","lis","act","syn","tim","clo"
17-10 13:33:12,5.326,0.790,93.882,0.002,0,699129856,65108193280,191029248,1238798336,723.794,136187.202,0.053,5.414,0,0,34.320,34.625,34.462,1104.469,6533.814,0,3221221376,10,9,0,0,0
17-10 13:33:13,0.062,0.125,99.813,0,0,698925056,65108398080,191029248,1238798336,0,0,0,0,855,1958,0,0,0,111,177,0,3221221376,10,9,0,0,0
17-10 13:33:14,0,0.062,99.875,0.062,0,698925056,65108398080,191029248,1238798336,0,32768,0,4,426,606,0,0,0,93,160,0,3221221376,10,9,0,0,0
17-10 13:33:15,0.062,0.125,99.812,0,0,698925056,65108398080,191029248,1238798336,0,0,0,0,999,827,0,0,0,148,240,0,3221221376,10,9,0,0,0
17-10 13:33:16,0,0.063,99.937,0,0,699060224,65108262912,191029248,1238798336,0,0,0,0,306,606,0,0,0,93,159,0,3221221376,10,9,0,0,0
17-10 13:33:17,0,0.063,99.937,0,0,699060224,65108262912,191029248,1238798336,0,0,0,0,597,836,0,0,0,89,149,0,3221221376,10,9,0,0,0
17-10 13:33:18,0.062,0.062,99.875,0,0,699060224,65108262912,191029248,1238798336,0,0,0,0,1155,606,0,0,0,98,157,0,3221221376,10,9,0,0,0
17-10 13:33:19,0,0.063,99.937,0,0,699060224,65108262912,191029248,1238798336,0,0,0,0,605,606,0,0,0,104,175,0,3221221376,10,9,0,0,0
17-10 13:33:20,0,0.125,99.875,0,0,699060224,65108262912,191029248,1238798336,0,24576,0,4,358,836,0,0,0,107,187,0,3221221376,10,9,0,0,0
17-10 13:33:21,0,0.125,99.875,0,0,699060224,65108262912,191029248,1238798336,0,0,0,0,1229,622,0,0,0,94,153,0,3221221376,10,9,0,0,0
17-10 13:33:22,0.062,0.062,99.875,0,0,699060224,65108262912,191029248,1238798336,0,0,0,0,1191,606,0,0,0,99,164,0,3221221376,10,9,0,0,0
17-10 13:33:23,0,0.063,99.937,0,0,699056128,65108262912,191029248,1238802432,0,0,0,0,657,836,0,0,0,118,203,0,3221221376,10,9,0,0,0
17-10 13:33:24,0.062,0.062,99.875,0,0,699056128,65108262912,191029248,1238802432,0,0,0,0,306,606,0,0,0,84,149,0,3221221376,10,9,0,0,0
17-10 13:33:25,0.063,0.063,99.875,0,0,699056128,65108262912,191029248,1238802432,0,0,0,0,769,834,0,0,0,135,201,0,3221221376,10,9,0,0,0
17-10 13:33:26,0,0.125,99.875,0,0,699064320,65108254720,191029248,1238802432,0,73728,0,8,606,606,0,0,0,114,173,0,3221221376,10,9,0,0,0
17-10 13:33:27,0,0.063,99.937,0,0,699064320,65108254720,191029248,1238802432,0,0,0,0,777,852,0,0,0,104,181,0,3221221376,10,9,0,0,0
17-10 13:33:28,0.062,0.062,99.875,0,0,699064320,65108254720,191029248,1238802432,0,0,0,0,306,606,0,0,0,81,143,0,3221221376,10,9,0,0,0
17-10 13:33:29,0,0.125,99.875,0,0,699064320,65108254720,191029248,1238802432,0,0,0,0,485,606,0,0,0,85,149,0,3221221376,10,9,0,0,0
17-10 13:33:30,0,0.125,99.875,0,0,699056128,65108262912,191029248,1238802432,0,0,0,0,598,836,0,0,0,105,181,0,3221221376,10,9,0,0,0
17-10 13:33:31,0,0.125,99.875,0,0,699056128,65108262912,191029248,1238802432,0,0,0,0,545,606,0,0,0,104,179,0,3221221376,10,9,0,0,0
17-10 13:33:32,0.062,0.062,99.812,0.062,0,699056128,65108262912,191029248,1238802432,0,24576,0,4,916,606,0,0,0,104,167,0,3221221376,10,9,0,0,0
17-10 13:33:33,0.062,0.062,99.875,0,0,699056128,65108262912,191029248,1238802432,0,0,0,0,1000,852,0,0,0,112,171,0,3221221376,10,9,0,0,0
17-10 13:33:34,0,0.125,99.875,0,0,699056128,65108262912,191029248,1238802432,0,0,0,0,186,606,0,0,0,83,149,0,3221221376,10,9,0,0,0
17-10 13:33:35,0.062,0.062,99.875,0,0,699056128,65108262912,191029248,1238802432,0,0,0,0,425,606,0,0,0,112,205,0,3221221376,10,9,0,0,0
17-10 13:33:36,0,0.063,99.937,0,0,699056128,65108262912,191029248,1238802432,0,0,0,0,306,606,0,0,0,84,145,0,3221221376,10,9,0,0,0
17-10 13:33:37,0,0.125,99.875,0,0,699056128,65108262912,191029248,1238802432,0,0,0,0,735,1442,0,0,0,93,156,0,3221221376,10,9,0,0,0
17-10 13:33:38,0,0.063,99.937,0,0,699056128,65108262912,191029248,1238802432,0,24576,0,4,521,606,0,0,0,94,157,0,3221221376,10,9,0,0,0
17-10 13:33:39,0,0.125,99.875,0,0,699056128,65108262912,191029248,1238802432,0,16384,0,4,1289,622,0,0,0,117,189,0,3221221376,10,9,0,0,0
17-10 13:33:40,0,0.063,99.937,0,0,699056128,65108262912,191029248,1238802432,0,0,0,0,658,954,0,0,0,111,205,0,3221221376,10,9,0,0,0
17-10 13:33:41,0.062,0.062,99.875,0,0,699056128,65108262912,191029248,1238802432,0,0,0,0,509,1704,0,0,0,84,144,0,3221221376,10,9,0,0,0
17-10 13:33:42,0,0.063,99.937,0,0,699056128,65108262912,191029248,1238802432,0,0,0,0,366,606,0,0,0,83,147,0,3221221376,10,9,0,0,0
17-10 13:33:43,0.062,0.125,99.813,0,0,699056128,65108262912,191029248,1238802432,0,0,0,0,932,836,0,0,0,124,205,0,3221221376,10,9,0,0,0
17-10 13:33:44,0,0.063,99.937,0,0,699056128,65108262912,191029248,1238802432,0,32768,0,4,546,606,0,0,0,98,155,0,3221221376,10,9,0,0,0
17-10 13:33:45,0.062,0.062,99.875,0,0,699056128,65108262912,191029248,1238802432,0,49152,0,12,545,682,0,0,0,104,171,0,3221221376,10,9,0,0,0
17-10 13:33:46,0,0.063,99.937,0,0,699056128,65108262912,191029248,1238802432,0,0,0,0,1070,622,0,0,0,96,156,0,3221221376,10,9,0,0,0
17-10 13:33:47,0.062,0.062,99.875,0,0,699056128,65108262912,191029248,1238802432,0,0,0,0,717,896,0,0,0,108,187,0,3221221376,10,9,0,0,0
17-10 13:33:48,0,0.125,99.875,0,0,699056128,65108262912,191029248,1238802432,0,0,0,0,306,606,0,0,0,82,143,0,3221221376,10,9,0,0,0
17-10 13:33:49,0,0.063,99.937,0,0,699056128,65108262912,191029248,1238802432,0,0,0,0,1307,606,0,0,0,98,159,0,3221221376,10,9,0,0,0
17-10 13:33:50,0.062,0.062,99.813,0.062,0,699056128,65108262912,191029248,1238802432,0,24576,0,4,538,836,0,0,0,110,185,0,3221221376,10,9,0,0,0
17-10 13:33:51,0,0.063,99.937,0,0,699056128,65108262912,191029248,1238802432,0,0,0,0,639,622,0,0,0,104,181,0,3221221376,10,9,0,0,0
17-10 13:33:52,0.062,0.062,99.875,0,0,699056128,65108262912,191029248,1238802432,0,0,0,0,246,606,0,0,0,83,147,0,3221221376,10,9,0,0,0
17-10 13:33:53,0.062,0.125,99.813,0,0,699052032,65108262912,191029248,1238806528,0,0,0,0,1815,836,0,0,0,116,177,0,3221221376,10,9,0,0,0
17-10 13:33:54,0.062,0.062,99.875,0,0,699052032,65108262912,191029248,1238806528,0,0,0,0,1328,1272,0,0,0,99,155,0,3221221376,10,9,0,0,0
17-10 13:33:55,0,0.063,99.937,0,0,699052032,65108262912,191029248,1238806528,0,0,0,0,940,606,0,0,0,125,213,0,3221221376,10,9,0,0,0
17-10 13:33:56,0,0.125,99.875,0,0,699052032,65108262912,191029248,1238806528,0,65536,0,6,426,606,0,0,0,96,159,0,3221221376,10,9,0,0,0
17-10 13:33:57,0,0.063,99.937,0,0,699052032,65108262912,191029248,1238806528,0,0,0,0,657,852,0,0,0,90,149,0,3221221376,10,9,0,0,0
17-10 13:33:58,0,0.125,99.875,0,0,699052032,65108262912,191029248,1238806528,0,0,0,0,306,606,0,0,0,80,143,0,3221221376,10,9,0,0,0
17-10 13:33:59,0.062,0.062,99.875,0,0,699052032,65108262912,191029248,1238806528,0,0,0,0,545,606,0,0,0,99,173,0,3221221376,10,9,0,0,0
17-10 13:34:00,0,0.063,99.937,0,0,699052032,65108262912,191029248,1238806528,0,8192,0,2,718,836,0,0,0,126,179,0,3221221376,10,9,0,0,0
17-10 13:34:01,0.062,0.062,99.875,0,0,699052032,65108262912,191029248,1238806528,0,0,0,0,245,622,0,0,0,102,147,0,3221221376,10,9,0,0,0
17-10 13:34:02,0,0.125,99.813,0.062,0,699052032,65108262912,191029248,1238806528,0,24576,0,4,666,606,0,0,0,119,155,0,3221221376,10,9,0,0,0
17-10 13:34:03,0.062,0.062,99.875,0,0,699052032,65108262912,191029248,1238806528,0,0,0,0,2588,852,0,0,0,144,215,0,3221221376,10,9,0,0,0
17-10 13:34:04,0.062,0.062,99.875,0,0,699052032,65108262912,191029248,1238806528,0,0,0,0,246,606,0,0,0,84,151,0,3221221376,10,9,0,0,0
17-10 13:34:05,0,0.063,99.937,0,0,699052032,65108262912,191029248,1238806528,0,0,0,0,880,606,0,0,0,105,177,0,3221221376,10,9,0,0,0
17-10 13:34:06,0,0.063,99.937,0,0,699052032,65108262912,191029248,1238806528,0,0,0,0,306,606,0,0,0,83,145,0,3221221376,10,9,0,0,0
17-10 13:34:07,0.062,0.125,99.813,0,0,699052032,65108262912,191029248,1238806528,0,0,0,0,777,836,0,0,0,108,185,0,3221221376,10,9,0,0,0
17-10 13:34:08,0,0.062,99.938,0,0,699052032,65108262912,191029248,1238806528,0,24576,0,4,486,708,0,0,0,99,157,0,3221221376,10,9,0,0,0
17-10 13:34:09,0,0.125,99.875,0,0,699052032,65108262912,191029248,1238806528,0,0,0,0,1402,1986,0,0,0,101,151,0,3221221376,10,9,0,0,0
17-10 13:34:10,0,0.062,99.938,0,0,699052032,65108262912,191029248,1238806528,0,32768,0,4,418,836,0,0,0,104,179,0,3221221376,10,9,0,0,0
17-10 13:34:11,0,0.125,99.875,0,0,699052032,65108262912,191029248,1238806528,0,0,0,0,425,622,0,0,0,104,179,0,3221221376,10,9,0,0,0
17-10 13:34:12,0,0.125,99.875,0,0,699052032,65108262912,191029248,1238806528,0,0,0,0,426,606,0,0,0,85,143,0,3221221376,10,9,0,0,0
17-10 13:34:13,0,0.125,99.875,0,0,699052032,65108262912,191029248,1238806528,0,0,0,0,657,836,0,0,0,100,161,0,3221221376,10,9,0,0,0
17-10 13:34:14,0,0.063,99.937,0,0,699052032,65108262912,191029248,1238806528,0,32768,0,4,820,710,0,0,0,104,165,0,3221221376,10,9,0,0,0
17-10 13:34:15,0.062,0.062,99.875,0,0,699052032,65108262912,191029248,1238806528,0,0,0,0,485,622,0,0,0,112,205,0,3221221376,10,9,0,0,0
17-10 13:34:16,0,0.125,99.875,0,0,699052032,65108262912,191029248,1238806528,0,0,0,0,821,606,0,0,0,92,149,0,3221221376,10,9,0,0,0
17-10 13:34:17,0,0.063,99.937,0,0,699052032,65108262912,191029248,1238806528,0,0,0,0,477,836,0,0,0,85,149,0,3221221376,10,9,0,0,0
17-10 13:34:18,0.062,0.062,99.875,0,0,699052032,65108262912,191029248,1238806528,0,0,0,0,580,606,0,0,0,88,149,0,3221221376,10,9,0,0,0
17-10 13:34:19,0,0.063,99.937,0,0,699052032,65108262912,191029248,1238806528,0,0,0,0,365,606,0,0,0,104,185,0,3221221376,10,9,0,0,0
17-10 13:34:20,0.062,0.062,99.813,0.062,0,699052032,65108262912,191029248,1238806528,0,73728,0,16,538,836,0,0,0,112,183,0,3221221376,10,9,0,0,0
17-10 13:34:21,0,0.125,99.875,0,0,699052032,65108262912,191029248,1238806528,0,0,0,0,365,622,0,0,0,88,145,0,3221221376,10,9,0,0,0
17-10 13:34:22,0,0.063,99.937,0,0,699052032,65108262912,191029248,1238806528,0,0,0,0,700,606,0,0,0,87,152,0,3221221376,10,9,0,0,0
17-10 13:34:23,0.062,0.125,99.813,0,0,699052032,65108262912,191029248,1238806528,0,0,0,0,812,836,0,0,0,120,197,0,3221221376,10,9,0,0,0
17-10 13:34:24,0.062,0.062,99.875,0,0,699047936,65108262912,191029248,1238810624,0,0,0,0,252,738,0,0,0,88,149,0,3221221376,10,9,0,0,0
17-10 13:34:25,0.062,0.125,99.813,0,0,699047936,65108262912,191029248,1238810624,0,0,0,0,922,672,0,0,0,112,183,0,3221221376,10,9,0,0,0
17-10 13:34:26,0.250,0.250,99.499,0,0,699248640,65108062208,191029248,1238810624,0,65536,0,6,856,606,0,0,0,298,334,0,3221221376,10,9,0,0,0
17-10 13:34:27,0.250,0.250,99.500,0,0,699113472,65108189184,191029248,1238810624,0,0,0,0,5120,2633,0,0,0,514,467,0,3221221376,10,9,0,0,0
17-10 13:34:28,0,0.125,99.875,0,0,699097088,65108205568,191029248,1238810624,0,0,0,0,426,606,0,0,0,86,154,0,3221221376,10,9,0,0,0
17-10 13:34:29,0.062,0.062,99.875,0,0,699097088,65108205568,191029248,1238810624,0,0,0,0,665,606,0,0,0,87,147,0,3221221376,10,9,0,0,0
17-10 13:34:30,0,0.063,99.937,0,0,699072512,65108230144,191029248,1238810624,0,0,0,0,418,836,0,0,0,95,169,0,3221221376,10,9,0,0,0
17-10 13:34:31,0.062,0.062,99.875,0,0,699072512,65108230144,191029248,1238810624,0,0,0,0,485,606,0,0,0,102,188,0,3221221376,10,9,0,0,0
17-10 13:34:32,0,0.062,99.875,0.062,0,699072512,65108230144,191029248,1238810624,0,278528,0,6,726,606,0,0,0,99,155,0,3221221376,10,9,0,0,0
17-10 13:34:33,0.062,0.125,99.813,0,0,699072512,65108230144,191029248,1238810624,0,0,0,0,1060,852,0,0,0,109,171,0,3221221376,10,9,0,0,0
17-10 13:34:34,0,0.063,99.937,0,0,699072512,65108230144,191029248,1238810624,0,0,0,0,366,606,0,0,0,86,153,0,3221221376,10,9,0,0,0
17-10 13:34:35,0.062,0.125,99.813,0,0,699072512,65108230144,191029248,1238810624,0,0,0,0,580,606,0,0,0,116,209,0,3221221376,10,9,0,0,0
17-10 13:34:36,0,0.063,99.937,0,0,699072512,65108230144,191029248,1238810624,0,729088,0,154,401,708,0,0,0,150,161,0,3221221376,10,9,0,0,0
17-10 13:34:37,0.062,0.062,99.875,0,0,699072512,65108230144,191029248,1238810624,0,0,0,0,681,1950,0,0,0,89,160,0,3221221376,10,9,0,0,0
17-10 13:34:38,0.062,0.062,99.875,0,0,699072512,65108230144,191029248,1238810624,0,32768,0,4,246,606,0,0,0,91,161,0,3221221376,10,9,0,0,0
17-10 13:34:39,0,0.125,99.875,0,0,699072512,65108230144,191029248,1238810624,0,0,0,0,485,622,0,0,0,99,173,0,3221221376,10,9,0,0,0
17-10 13:34:40,0.062,0.062,99.875,0,0,699072512,65108230144,191029248,1238810624,0,0,0,0,538,836,0,0,0,104,173,0,3221221376,10,9,0,0,0
17-10 13:34:41,0.062,0.062,99.875,0,0,699072512,65108230144,191029248,1238810624,0,0,0,0,365,606,0,0,0,85,147,0,3221221376,10,9,0,0,0
17-10 13:34:42,0.062,0.062,99.875,0,0,699072512,65108230144,191029248,1238810624,0,0,0,0,821,606,0,0,0,94,151,0,3221221376,10,9,0,0,0
17-10 13:34:43,0,0.125,99.875,0,0,699072512,65108230144,191029248,1238810624,0,0,0,0,537,836,0,0,0,118,195,0,3221221376,10,9,0,0,0
17-10 13:34:44,0.063,0.063,99.875,0,0,699072512,65108230144,191029248,1238810624,0,24576,0,4,707,606,0,0,0,93,155,0,3221221376,10,9,0,0,0
17-10 13:34:45,0,0.125,99.875,0,0,699072512,65108230144,191029248,1238810624,0,0,0,0,545,622,0,0,0,113,170,0,3221221376,10,9,0,0,0
17-10 13:34:46,0.062,0.062,99.875,0,0,699072512,65108230144,191029248,1238810624,0,0,0,0,306,606,0,0,0,84,145,0,3221221376,10,9,0,0,0
17-10 13:34:47,0,0.062,99.938,0,0,699072512,65108230144,191029248,1238810624,0,0,0,0,1676,836,0,0,0,118,199,0,3221221376,10,9,0,0,0
17-10 13:34:48,0,0.125,99.875,0,0,699072512,65108230144,191029248,1238810624,0,0,0,0,306,606,0,0,0,83,143,0,3221221376,10,9,0,0,0
17-10 13:34:49,0.062,0.062,99.875,0,0,699072512,65108230144,191029248,1238810624,0,0,0,0,425,606,0,0,0,82,143,0,3221221376,10,9,0,0,0
17-10 13:34:50,0,0.062,99.875,0.062,0,699072512,65108230144,191029248,1238810624,0,24576,0,4,298,836,0,0,0,106,181,0,3221221376,10,9,0,0,0
17-10 13:34:51,0,0.125,99.875,0,0,699072512,65108230144,191029248,1238810624,0,0,0,0,545,622,0,0,0,104,181,0,3221221376,10,9,0,0,0
17-10 13:34:52,0.062,0.062,99.875,0,0,699072512,65108230144,191029248,1238810624,0,0,0,0,246,666,0,0,0,85,154,0,3221221376,10,9,0,0,0
17-10 13:34:53,0.188,0.125,99.688,0,0,699580416,65107722240,191029248,1238810624,0,0,0,0,3348,2821,0,0,0,198,199,0,3221221376,10,10,0,0,0
17-10 13:34:54,1.814,0.688,97.498,0,0,701218816,65106083840,191029248,1238818816,0,0,0,0,8826,3891,0,0,0,926,757,0,3221221376,10,10,0,0,0
17-10 13:34:55,0.250,0.188,99.562,0,0,700116992,65107181568,191029248,1238818816,0,253952,0,28,14778,5409,0,0,0,463,650,0,3221221376,10,10,0,0,0
17-10 13:34:56,1.378,0.501,98.120,0,0,700055552,65107243008,191029248,1238818816,0,1474560,0,324,26425,5744,0,0,0,1189,925,0,3221221376,10,10,0,0,0
17-10 13:34:57,1.064,0.438,98.498,0,0,700948480,65106350080,191029248,1238818816,0,0,0,0,3215,2751,0,0,0,426,505,0,3221221376,10,10,0,0,0
17-10 13:34:58,0.563,0.375,99.062,0,0,700764160,65106845696,191029248,1238503424,0,0,0,0,2430,3163,0,0,0,673,599,0,3221221376,10,10,0,0,0
17-10 13:34:59,0.375,0.375,99.249,0,0,705798144,65101811712,191029248,1238503424,0,0,0,0,3881,3581,0,0,0,394,476,0,3221221376,10,10,0,0,0
17-10 13:35:00,0.938,0.438,98.562,0.062,0,701542400,65106067456,191029248,1238511616,0,237568,0,8,1890,2286,0,0,0,478,466,0,3221221376,10,10,0,0,0
17-10 13:35:01,0.125,0.188,99.687,0,0,700121088,65107488768,191029248,1238503424,0,1769472,0,400,937,1392,0,0,0,467,419,0,3221221376,10,9,0,0,0
17-10 13:35:02,4.005,0.814,95.119,0.063,0,731590656,65076019200,191029248,1238507520,0,933888,0,181,5269,5667,0,0,0,1099,928,0,3221221376,10,9,1,0,0
17-10 13:35:03,23.905,17.522,58.573,0,0,864129024,64943472640,191029248,1238511616,0,0,0,0,1680,622,0,0,0,4054,1381987,0,3221221376,10,9,0,0,0
17-10 13:35:04,0.062,0.062,99.875,0,0,864129024,64943472640,191029248,1238511616,0,0,0,0,760,938,0,0,0,97,169,0,3221221376,10,9,0,0,0
17-10 13:35:05,0,0.125,99.875,0,0,864129024,64943472640,191029248,1238511616,0,0,0,0,749,1704,0,0,0,102,177,0,3221221376,10,9,0,0,0
17-10 13:35:06,0,0.063,99.937,0,0,864129024,64943472640,191029248,1238511616,0,0,0,0,426,606,0,0,0,86,149,0,3221221376,10,9,0,0,0
17-10 13:35:07,0.062,0.062,99.875,0,0,864129024,64943472640,191029248,1238511616,0,0,0,0,717,836,0,0,0,109,196,0,3221221376,10,9,0,0,0
17-10 13:35:08,7.165,1.131,91.640,0.063,0,867590144,64940011520,191029248,1238511616,0,180224,0,12,29405792,14948806,480,503,372,5821,5959,0,3221221376,10,25,0,0,0
17-10 13:35:09,19.429,1.778,78.794,0,0,868192256,64939409408,191029248,1238511616,0,0,0,0,84945081,43201608,1449,1404,1028,16441,16843,0,3221221376,10,25,0,0,0
17-10 13:35:10,20.063,2.413,77.524,0,0,868417536,64939184128,191029248,1238511616,0,0,0,0,94697401,48120326,1485,1456,1216,17942,19025,0,3221221376,10,25,0,0,0
17-10 13:35:11,21.424,2.181,76.395,0,0,868577280,64939024384,191029248,1238511616,0,0,0,0,104108927,52907195,1657,1741,1438,19799,21220,0,3221221376,10,25,0,0,0
17-10 13:35:12,21.300,2.059,76.577,0.064,0,869113856,64938487808,191029248,1238511616,0,729088,0,154,103426422,52582380,1568,1769,1475,19801,21148,0,3221221376,10,25,0,0,0
17-10 13:35:13,20.601,2.431,76.967,0,0,869400576,64938201088,191029248,1238511616,0,0,0,0,99024493,50332409,1638,1507,1283,18855,20164,0,3221221376,10,25,0,0,0
17-10 13:35:14,21.839,2.235,75.862,0.064,0,869527552,64938074112,191029248,1238511616,0,40960,0,4,104944583,53336555,1588,1641,1415,19898,21353,0,3221221376,10,25,0,0,0
17-10 13:35:15,18.754,2.184,79.062,0,0,869875712,64937725952,191029248,1238511616,0,0,0,0,92606055,47048134,1482,1598,1016,17394,17668,0,3221221376,10,25,0,0,0
17-10 13:35:16,20.807,1.601,77.593,0,0,870453248,64937148416,191029248,1238511616,0,0,0,0,97164918,49375004,1480,1687,1379,18393,19450,0,3221221376,10,25,0,0,0
